year,month,value
2010,1,182117
2010,2,159489
2010,3,198639
2010,4,162854
2010,5,158039
2010,6,157840
2010,7,163614
2010,8,155877
2010,9,161237
2010,10,170548
2010,11,177278
2010,12,184281
2011,1,178460
2011,2,164830
2011,3,177971
2011,4,150971
2011,5,151154
2011,6,155252
2011,7,156374
2011,8,167500
2011,9,162691
2011,10,172818
2011,11,161710
2011,12,161867
2012,1,167784
2012,2,135965
2012,3,145809
2012,4,133439
2012,5,143984
2012,6,149082
2012,7,152992
2012,8,148795
2012,9,139185
2012,10,153688
2012,11,170988
2012,12,154459
2013,1,178281
2013,2,150818
2013,3,152741
2013,4,148947
2013,5,151832
2013,6,152903
2013,7,158050
2013,8,144487
2013,9,135995
2013,10,151636
2013,11,156745
2013,12,157537
2014,1,212037
2014,2,179472
2014,3,176187
2014,4,160747
2014,5,177049
2014,6,179515
2014,7,179523
2014,8,163277
2014,9,159763
2014,10,172774
2014,11,179224
2014,12,174430
2015,1,189710
2015,2,198247
2015,3,205822
2015,4,184685
2015,5,189627
2015,6,200075
2015,7,196989
2015,8,188009
2015,9,184498
2015,10,200932
2015,11,184873
2015,12,177284
2016,1,211473
2016,2,198427
2016,3,196968
2016,4,186106
2016,5,202393
2016,6,208524
2016,7,203504
2016,8,202213
2016,9,189382
2016,10,199363
2016,11,189024
2016,12,204013
2017,1,206327
2017,2,179196
2017,3,206184
2017,4,196265
2017,5,210164
2017,6,218251
2017,7,210315
2017,8,203762
2017,9,208372
2017,10,218688
2017,11,216004
2017,12,218487
2018,1,254277
2018,2,192235
2018,3,222761
2018,4,212075
2018,5,231804
2018,6,235141
2018,7,238043
2018,8,238695
2018,9,229117
2018,10,251576
2018,11,228641
2018,12,213589
2019,1,240917
2019,2,202433
2019,3,222605
2019,4,222668
2019,5,246052
2019,6,246281
2019,7,187265
2019,8,182445
2019,9,183669
2019,10,177633
2019,11,176758
2019,12,167390
2020,1,167604
2020,2,147255
2020,3,157621
2020,4,140094
2020,5,204788
2020,6,276166
2020,7,272572
2020,8,295813
2020,9,105484
